gene	Endothelial.cells	Alveolar.Luminal	Basal.Myoepithelial	Pericytes	Fibroblasts	Prolif.Fibroblasts	Luminal.progenitor	Luminal.mature
Ssbp2	0.945971889897253	0.014070888232603617	1.3164479965022675	0.9721065912910736	1.031099476586075	0.688299337262532	0.15306049776486966	0.9440816724513191
4833422C13Rik	0.0011015781123394027	0.00010685189267200065	0.0055237293708200125	0.2899936045129362	0.11954234521644873	0.03325588994816492	0	0
Acot12	0.002091586530491263	0	0	0.005402654655389853	0.006452154465822795	0	0	0
Zcchc9	0.15808614817948724	0.036425309610482744	0.15568272910287034	0.24546878650817383	0.1981666585038274	0.1746381420473079	0.18944433712449155	0.3504702361732047
Ckmt2	0.039019926053405755	0	0	0.031555484083925694	0	0.01267977806058631	0	0
1700119I11Rik	0	0	0	0	0	0	0	0
Rasgrf2	1.2766757364593297	0.00537415835409258	0.03454777014683577	0.6103254731732483	0.0028242214733100305	0.06372646151031758	0.005374985242168663	0.0035070930566042944
Msh3	0.20067676835491005	0.03301935567040283	0.3477820291188757	0.19910081210690736	0.12735460676036756	0.11098024004160226	0.11743864329866698	0.3129396092040359
Gm20379	0	0	0	0	0	0	0	0
Dhfr	0.019338925820608796	0.003561721491804937	0.016029034153354108	0.03171651208085311	0.04295261251225981	0.2614828626509577	0.016254042271366537	0.0323155656862722
C030017D09Rik	0	0	0	0	0.00046716074435408173	0	0	0
Ankrd34b	0	0	0	0	0	0	0	0
Fam151b	0.03140521608622277	0.00497368990381722	0.04956354340047191	0.06335750370435278	0.07708770928790341	0.08532741407299231	0.06641234620070205	0.18538680200346544
Zfyve16	0.3401753156034936	0.031080362556578926	0.349679563620062	0.3993562071401072	0.32583771569652975	0.39009018853365396	0.22951200342353614	0.22545000013582447
Spz1	0	0	0	0	0	0	0	0
Serinc5	0.2874246205324602	0.019355424860579885	0.15926824820738567	0.21176150799839874	0.2739866297306823	0.26954004817911664	0.350802114704543	0.5710672294235121
Thbs4	0	0	0	0	0.22347932000564658	0.00426153461459744	0.0022684662651413254	0
Mtx3	0.09182469510778409	0.008589876381450024	0.08501733036535764	0.08081120615133223	0.06322139825981231	0.030369383426642728	0.04423229494810427	0.05783395908235097
Gm31630	0	0	0	0	0	0	0	0
Cmya5	0.06817342719283184	0.0004852733247967843	0.040385458327334534	0.045454915475619355	0.13158544263437671	0.034290027301446424	0.1268667009125937	0.016250143156950676
Gm4814	0	0	0	0	0	0	0	0
A630019I02Rik	0	0	0	0	0.0006200589216176263	0	0	0
Tent2	0.47978258173324884	0.06341057899550347	0.41725400666561724	0.4484412096848417	0.5221780787594293	0.5539427372927057	0.3837787784413809	0.380881727909221
Homer1	0.12276236015202786	0.03401896599391033	0.20756986821907947	0.1881634259610294	0.5600884138193606	0.5254513592959122	0.23717993745387425	0.03812815087699402
Jmy	0.42887169941300723	0.14345479403764388	0.6836563911239456	0.6033559420477742	0.31928584887391487	0.1796235019052944	0.5142987417059244	0.3167197065640901
Bhmt	0	0	0	0	0	0	0	0
Gm15622	0	0	0	0	0	0	0	0
Bhmt2	0	0	0	0	0	0	0	0
Dmgdh	0	0	0	0	0	0	0	0
AW495222	0	0	0.004648626530017421	0	0.0005670357991854251	0	0	0
Gm47210	0.003900859529469809	0.0017529921449101343	0.005054884705759595	0.0013729174988747022	0.0006054745045452846	0	0	0
Arsb	0.21082796294852008	0.046374586288438976	0.21214751890977152	0.26115304750949137	0.6585718151935449	0.505400776482759	0.19675127364629383	0.16207647206930345
Gm47216	0	0	0	0	0.00045923959888116613	0	0	0
Lhfpl2	0.15221151530417007	0.017158108011577307	0.03943647026490348	0.11755712210809756	0.4231154905986812	0.5589909920288935	0.06169631712998557	0.1089632459301093
Gm15907	0	0	0	0	0.0005404143333556746	0	0	0
Scamp1	0.4588896065615681	0.05638978400953863	0.401280796654254	0.36065503108943386	0.31891537230488637	0.13195464635895415	0.3975269734102306	0.5136200030647052
Gm32089	0	0.0034015541818537705	0	0	0	0	0.0015936166119502229	0
